"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"Nhat[118]",127704.748108698,1497291.05319743,5226867.70699868,2080872.84923353,5278691.14692395,NA,53973.9694986692,1,9565,-0.00622605178834617,1.00007696012834
"Nhat[119]",387487.235264191,1952853.71959834,3928058.65524478,2130984.59276011,1325764.96120177,NA,14293.6116352538,1.1,8603,0.01642733496512,1.00109244901671
"Nhat[120]",699218.328074833,2459829.40497116,5176922.26503962,2796383.29032189,1987803.05745886,NA,26113.1736209575,1.3,5795,0.0343196175427728,1.00296867597573
"Nhat[121]",477258.883133146,1864397.76339852,4364074.13945615,2176585.55657113,1475179.92802742,NA,22257.2554745978,1.5,4393,0.0130169060165109,1.00128602174196
"Nhat[122]",383240.155239935,1712210.04553588,3256926.56883102,1814096.46643086,1055591.5589524,NA,11886.4188285001,1.1,7887,-0.00348899512019479,1.0003148460171
"Nhat[123]",87110.4982698776,2262292.18603935,7295723.9090136,2985938.3726432,3135766.83361152,NA,32284.3900879129,1,9434,0.0158058372791253,1.00180336584783
"Nhat[124]",494292.064425657,2216542.12608793,4407338.71034329,2389414.92060221,1819176.16038822,NA,19109.3826384372,1.1,9063,-0.00818861695553663,1.00024422052346
"Nhat[125]",666355.2830529,1995484.06581193,3883677.65036244,2195123.13794526,1327508.83847036,NA,15024.113866434,1.1,7807,0.00145823068720596,1.00287611973982
"Nhat[126]",427167.516227189,1835987.35561963,3573399.93130179,2017230.11353087,1182392.11491122,NA,14442.1039021815,1.2,6703,-0.0055694565535756,1.00315816942877
"Nhat[127]",478688.489785645,1753590.21013124,3222360.26822937,1835902.18358803,870703.091688435,NA,9535.6731991554,1.1,8338,-0.0207076597450749,1.00957811905595
"Nhat[128]",415561.533781905,1584325.13471388,2875988.67054082,1657184.14780944,854322.418237929,NA,9345.30692897447,1.1,8357,0.00448396761947725,1.00129163102849
"Nhat[129]",460204.449203956,2210921.74085658,4203387.53724866,2359922.16645548,1631408.00725874,NA,18334.1279402556,1.1,7918,0.0144271023691748,1.00006763442765
"Nhat[130]",290322.023673192,1563632.14244448,4167514.63684032,1920131.87695797,3027347.36657634,NA,34112.7801889794,1.1,7876,0.0228432002286218,1.00065340209357
"Nhat[131]",242109.397460325,1474288.67530975,2899249.24752128,1607660.11171418,1215529.44038889,NA,14668.5668878128,1.2,6867,-0.00842386027789871,1.00400626181485
"Nhat[132]",230015.755911737,1591377.99354809,3985951.34159633,1910376.10122175,1693948.66850136,NA,22407.2028202051,1.3,5715,0.0156426646336398,1.00302013199209
"Nhat[133]",452674.05711861,1841015.1375301,3371526.75704053,1953090.71935856,1419130.31934856,NA,15488.4081598181,1.1,8395,0.00111494201751321,1.00128702925179
"Nhat[134]",498390.683862722,1602601.67199952,3208261.42932085,1776617.9597791,1304230.56101804,NA,14936.1588211489,1.1,7625,-0.000852061406077959,1.00031678090342
"Nhat[135]",383191.482892059,1833259.74454107,4456230.12431263,2217892.09020183,3962052.19905464,NA,41422.9199711289,1,9149,0.00826820477772925,1.00008094263086
"Nhat[136]",379345.341669314,2042631.69650334,4188257.69324131,2240153.70292952,1570603.38485722,NA,16603.2545504354,1.1,8948,0.014036658582715,1.00369921544055
"Nhat[137]",408295.465646185,1731934.38167334,3234373.44874072,1929896.14732236,3860076.18530624,NA,44229.7286956474,1.1,7617,0.00616643673169951,1.00162977212514
"Nhat[138]",369255.059818463,1442160.53737334,3084500.1962274,1639985.62788442,1040361.02678138,NA,13362.640410794,1.3,6062,0.0194596994098704,1.00057553801276
"Nhat[139]",351295.233906746,1271207.13601666,2585234.32677222,1425944.35962784,791533.065984645,NA,10155.7653944078,1.3,6075,0.0300559933870626,1.00180044812332
"Nhat[140]",81156.5433602178,921333.796025687,3294415.5886018,1292546.25796801,1569819.77113146,NA,27020.4074078048,1.7,3375,0.0474114878091991,1.00157742564835
"Nhat[141]",127372.669488846,869205.134656783,2849012.41028882,1151035.54205629,1041689.767077,NA,18297.5124671445,1.8,3241,0.0386369296882206,1.00686600195829
"Nhat[142]",81645.3544536714,867083.540429666,2548110.41819873,1138368.40669032,2419674.05349297,NA,30857.3958350843,1.3,6149,0.0114500834705308,1.00099355416075
"Nhat[143]",124813.567813462,1280120.0260373,3192427.34180605,1499738.3611193,1184430.14571044,NA,15550.5045319559,1.3,5801,0.0162659955510133,1.00072823556213
"Nhat[144]",177243.69127874,1652759.9626218,4683504.56984069,2092513.99384437,1924939.19502657,NA,33867.4476345164,1.8,3230,0.0366252533012186,1.00289541848784
"Nhat[145]",195148.671989937,1217051.37413962,3897875.00095364,1600960.94859775,1493461.82134594,NA,28785.2681863363,1.9,2692,0.0414294173574554,1.00201231027793
"Nhat[146]",123319.084145474,1279716.82563969,3011245.49930212,1446052.8666732,1215219.40672657,NA,13216.0143164573,1.1,8455,0.00361654882373777,1.00090083127035
"Nhat[147]",141637.172750702,1426436.47907329,3641044.76877875,1665946.04130876,1286167.94843301,NA,17895.3976198432,1.4,5166,0.0204479389260268,1.00404825390363
"Nhat[148]",77148.2203472748,1179005.31160873,3235398.45677308,1513592.27102848,8645658.90587004,NA,114938.792711106,1.3,5658,0.0304409739669903,1.00115515173596
"Nhat[149]",90566.7032236776,1258899.10146984,3040230.6462493,1439792.33882993,1223174.70477096,NA,13611.5751149395,1.1,8075,0.0216923500488923,1.0000273167293
"Nhat[150]",96449.4172208552,1169021.8686916,3141333.91063277,1429585.86224879,1752452.19199328,NA,23094.4850621782,1.3,5758,0.00718457523237338,1.00027717056817
"Nhat[151]",102935.163407027,1070477.8963926,2563220.6917113,1217556.14975131,1218605.55683095,NA,13904.7415494353,1.1,7681,-0.00689981330034096,1.00010464619272
"Nhat[152]",172169.317677301,1260278.97587091,2961614.22054927,1437384.76172843,1557490.88266875,NA,16216.1682839085,1,9225,0.0146943111948993,0.999966120277414
"Nhat[153]",129156.574822241,1191575.65884873,2859053.96206486,1360736.81753392,1257995.37938987,NA,14719.6796554027,1.2,7304,-0.00118775480234006,1.0009260786255
"Nhat[154]",154392.206886095,1021115.36651052,2480194.56925359,1153356.67028533,788346.955203083,NA,10524.3969561025,1.3,5611,0.0204236993204335,1.00035472100368
"Nhat[155]",144567.169006707,915512.234326253,3122784.67756297,1257058.96358334,2405827.85427757,NA,39811.2630552792,1.7,3652,0.0329376901931762,1.00019562573435
"Nhat[156]",103305.257187081,1065487.20190956,2499736.4536722,1233005.96356823,1191234.9016639,NA,15348.296460047,1.3,6024,0.024338258028258,1.00175670265034
"Nhat[157]",111573.92488296,745074.840245276,2412245.1863593,989239.18083515,973901.377505752,NA,21231.3037339805,2.2,2104,0.0588854927655417,1.0009140673307
"Nhat[158]",33217.4647354506,669980.246793047,2705635.45917471,983657.854970452,1313506.06056857,NA,27000.4043820626,2.1,2367,0.0567390104606937,1.00183742593669
"Nhat[159]",18622.9834665355,707371.25063806,2858738.73337989,1077889.48432893,2104992.86620306,NA,34159.975431198,1.6,3797,0.0345899089519871,1.00132737323387
"Nhat[160]",99382.0623525492,884005.612438712,2486139.76639165,1107875.69689327,1026466.87242253,NA,18712.2951976011,1.8,3009,0.0300540385706946,1.00209027973187
"Nhat[161]",606834.09396227,2211528.87652393,4380081.073136,2332790.80983858,1927032.12377978,NA,23301.3808039764,1.2,6839,0.0434000999100582,1.00335997235478
"Nhat[162]",331621.994403548,1247737.40860391,2563907.25503384,1373424.57949949,717703.398222483,NA,9364.00513147017,1.3,5874,0.0157045832612843,1.00388612760493
"Nhat[163]",364724.262426546,2171498.41662201,4518417.27195761,2363951.39755732,1450406.29790792,NA,23897.1719056102,1.6,3684,0.0398171383849731,1.00142563792119
"Nhat[164]",467844.853957368,1914151.67808178,3733607.65568761,2079968.20084858,1129705.46292862,NA,17597.8581168536,1.6,4121,0.0169938742943958,1.00599662301441
"Nhat[165]",782384.876943369,2280744.40445823,5215635.55619166,2666395.17956113,1975959.83958617,NA,32798.7646129421,1.7,3629,0.0280457969371087,1.00715915039475
"Nhat[166]",435329.788901686,1663788.11394103,3188431.51397228,1755252.44023481,894871.754643113,NA,9193.83301724829,1,9474,0.00540096175871906,1.00250051533766
"Nhat[167]",447864.549087401,1558851.36199757,3371741.6974402,1766027.81214856,1008752.79407159,NA,13624.1780283148,1.4,5482,0.0233338616717233,1.00253589369446
"Nhat[168]",367009.938022278,1714236.67104962,4453613.09897015,2100778.27045098,1805470.28168736,NA,37079.7818302094,2.1,2371,0.0398662228880309,1.00360430563744
"Nhat[169]",467671.620130601,1549684.44983193,3000570.67043045,1651462.7808832,894485.283664019,NA,9709.39663543501,1.1,8487,0.0104144680859037,1.00004158227685
"Nhat[170]",483781.09492894,1695138.95726033,3647625.56483728,1925380.63256791,1073925.98930277,NA,13364.4399773349,1.2,6457,0.0197101601673592,1.00546262621953
"Nhat[171]",510532.547886971,2059467.1143261,4037328.70532301,2241612.07935205,1206546.21457309,NA,18996.5396679893,1.6,4034,0.034809269849407,1.00758622870536
"Nhat[172]",385671.924488093,1553992.94534674,3895066.56048808,1875468.870557,1270944.69394117,NA,26088.8149288211,2.1,2373,0.0468198642867809,1.00151857747624
"Nhat[173]",550346.746956533,2177135.53155852,4224305.25310519,2293730.29802908,1235526.20724721,NA,12976.7453972201,1.1,9065,0.0150761607877735,1.00324079328096
"Nhat[174]",405955.19107426,2155460.68242137,4193376.34760731,2287223.50752072,1200737.44081775,NA,16057.3190590063,1.3,5592,0.018478732740454,1.00377696923862
"Nhat[175]",237103.071215935,1713330.66075621,3618853.61854171,1889569.10106355,1165483.66558987,NA,19267.6684539621,1.7,3659,0.036283790245358,1.00445531301369
"Nhat[176]",411965.091986287,1378589.4860424,2807924.68980647,1508458.76871859,771966.607998125,NA,9492.78290639008,1.2,6613,0.00926056213333062,1.00058549825648
"Nhat[177]",500967.309249023,1957820.34735527,4002517.3055295,2177960.39898451,1298015.62698114,NA,19614.4855827672,1.5,4379,0.0204601039767639,1.00144480408146
"Nhat[178]",357678.544294249,1505578.36377529,2844500.23804952,1584154.31994973,884384.832494605,NA,11519.1478163818,1.3,5894,0.0157376522009274,1.00492855943459
"Nhat[179]",455640.602286216,1631519.40867848,3537218.18185793,1879470.26141842,3265199.92588208,NA,45019.4024733507,1.4,5260,0.00768087429364468,1.00325541205029
"Nhat[180]",390714.767165595,1644424.54320002,3026636.37039798,1717108.89798974,899820.929159433,NA,9837.48328859229,1.1,8367,0.00484676631858926,1.00088716830522
"Nhat[181]",479587.890941159,2713825.42178073,5281584.42009671,2931822.634275,3781024.50085907,NA,44663.4308543376,1.2,7167,0.0127602465754723,1.0012207031386
"Nhat[182]",320211.267393092,1961851.1104056,3992055.60545326,2125140.10478364,1644290.45008221,NA,21155.4364375156,1.3,6041,0.0105956732737703,1.00330440065375
"Nhat[183]",335192.067793264,2338110.98086524,5506053.71154297,2693317.29174156,1898311.76374797,NA,32432.4988499875,1.7,3426,0.0351616227924812,1.00069613903867
"Nhat[184]",384311.576718063,2071974.78297286,3947502.33693939,2186858.61290098,1425903.07769174,NA,17476.1642431188,1.2,6657,0.023794263840486,1.00518204998553
"Nhat[185]",410725.922669492,3336587.42070972,10763224.675026,4476257.12793317,5067186.63979146,NA,120872.871703731,2.4,1757,0.097573219423322,1.00048875002379
"Nhat[186]",413610.110685036,1851356.78168167,4912535.91458179,2271433.22109934,1683533.41790092,NA,44035.2648560095,2.6,1462,0.0690505704469577,1.00522724753383
"Nhat[187]",669781.946493364,2768238.44155813,5308418.47501952,2912621.8369484,1638484.99720388,NA,19354.5064076312,1.2,7167,0.0254116695975135,1.0009849611763
"Nhat[188]",425655.083486694,1525060.69161057,3818344.86810314,1827256.03138499,1514289.18962807,NA,20523.1159729279,1.4,5444,0.0314138613347266,1.00136881257018
"Nhat[189]",213555.030315739,1767880.29236033,6228057.83690623,2426530.25186521,2982317.7796306,NA,55264.1877670037,1.9,2912,0.0516323953661575,1.00336790977714
"Nhat[190]",316718.433698295,1430761.83171718,3040623.16971029,1639723.76284169,1110479.93997335,NA,13245.5283895333,1.2,7029,0.0205054769357726,1.00081608114104
"Nhat[191]",309679.723427419,1710715.72308623,5651057.47788279,2283049.82769442,2571322.99846279,NA,43120.3289764524,1.7,3556,0.0658187972680497,1.01065480947641
"Nhat[192]",191334.53829792,1888368.40606484,6986778.56216975,2674150.96715023,3798853.15931487,NA,106122.72655686,2.8,1281,0.0491386325872893,1.00849265158714
"Nhat[193]",285626.993126406,2412936.25586712,5986305.27658956,2838467.73870489,2233352.72856004,NA,54968.4151791691,2.5,1651,0.0690927569874447,0.999918863019037
"Nhat[194]",850828.886315536,2720509.19300902,5194734.93597536,2891002.07137153,1378227.16743669,NA,18732.0052760521,1.4,5413,0.0454537942695096,1.00352258112535
"Nhat[195]",501732.368356516,2292235.40096093,5728662.3067507,2877140.59234035,9449493.93405664,NA,124290.870580573,1.3,5780,0.0227277397044954,1.00001482867818
"Nhat[196]",970305.794007462,2398096.55707158,4982144.259566,2699451.08881127,3797286.50666092,NA,43731.4588277702,1.2,7540,0.00616744136227694,1.0005410668255
"Nhat[197]",488477.988315502,2610799.40354484,5262085.18485554,2828387.02124124,1916877.46308117,NA,23526.9558600583,1.2,6638,0.0187992225907916,1.00010581102024
"Nhat[198]",1061344.86719605,4202785.79272102,7740722.80860981,4346888.18659902,2291163.75408226,NA,27275.6707413078,1.2,7056,0.00466078016523399,1.00214132997766
"Nhat[199]",590036.098917364,2414888.90728114,4268394.3627181,2488260.4908324,1236187.2226927,NA,15860.0082817906,1.3,6075,0.0088168855445333,1.00330163489776
"Nhat[200]",681146.120633406,3294443.33355009,6290657.35151953,3490630.25146316,1898196.91439231,NA,24530.2804921746,1.3,5988,0.0237096532686027,1.00115329218671
"Nhat[201]",969069.580617203,2796144.6000405,6126799.19942272,3211819.56435422,1778102.77500849,NA,29956.9625102825,1.7,3523,0.0532688052468833,1.00262052989281
"Nhat[202]",613882.113820455,2195565.41734431,4773256.68114764,2542819.97690698,1555832.81204713,NA,22345.431252698,1.4,4848,0.0279706663674137,1.00195027701489
"Nhat[203]",941273.386177937,2702209.9407908,5594564.26339577,3031794.70149048,1563387.13529016,NA,21392.6032099602,1.4,5341,0.0142490822378223,1.00026769502885
"Nhat[204]",589455.312019144,3374603.9122897,10043787.9435981,4353393.48241545,3668194.88378959,NA,119071.31803603,3.2,949,0.0892814659203663,1.00302062500409
